상권명,상권유형,업종,20254_전체점포수,20254_개업수,20254_폐업수,20254실제,20261실제,20261예측,오차
불광역 8번,골목상권,한식음식점,9,0,0,0,0.0,3.65,3.65
불광중학교,골목상권,한식음식점,13,0,0,0,8.0,3.98,-4.02
사가정역 1번,골목상권,한식음식점,47,3,2,4,0.0,5.46,5.46
사가정역 4번,골목상권,한식음식점,9,0,1,11,0.0,3.58,3.58
사근동살곶이상점가,골목상권,한식음식점,14,0,0,0,8.0,4.06,-3.94
사당5동주민센터,골목상권,한식음식점,6,0,0,0,0.0,3.28,3.28
사당역 10번,골목상권,한식음식점,65,3,3,5,2.0,5.73,3.73
사당역 4번,골목상권,한식음식점,48,3,2,4,2.0,5.48,3.48
사당종합체육관,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
사직공원(한국사회과학도서관),골목상권,한식음식점,4,0,0,0,0.0,2.94,2.94
삼각산119안전센터,골목상권,한식음식점,5,0,1,20,0.0,2.98,2.98
삼각지역 14번,골목상권,한식음식점,8,0,0,0,0.0,3.54,3.54
삼각지역 3번,골목상권,한식음식점,11,2,3,27,0.0,4.37,4.37
삼광초등학교,골목상권,한식음식점,8,0,0,0,0.0,3.54,3.54
삼선동주민센터,골목상권,한식음식점,36,3,0,0,11.0,5.3,-5.7
삼선중학교,골목상권,한식음식점,19,1,0,0,6.0,4.55,-1.45
삼성산자연공원(서울금천초등학교),골목상권,한식음식점,17,0,0,0,12.0,4.24,-7.76
삼성중앙역 5번,골목상권,한식음식점,8,0,0,0,0.0,3.55,3.55
삼성중앙역 7번,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
삼양사거리역 1번,골목상권,한식음식점,5,0,0,0,0.0,3.14,3.14
삼양사거리역 2번,골목상권,한식음식점,11,0,0,0,10.0,3.83,-6.17
삼양입구사거리,골목상권,한식음식점,30,1,0,0,0.0,4.91,4.91
삼육보건대학교,골목상권,한식음식점,33,0,1,3,10.0,4.87,-5.13
삼전역 1번,골목상권,한식음식점,60,2,7,12,9.0,5.52,-3.48
삼전역 3번,골목상권,한식음식점,26,1,3,12,0.0,4.74,4.74
삼전역 4번,골목상권,한식음식점,36,1,5,14,0.0,5.0,5.0
상계2동주민센터,골목상권,한식음식점,41,3,2,5,2.0,5.35,3.35
상계5동주민센터,골목상권,한식음식점,60,4,2,3,5.0,5.75,0.75
상계역,골목상권,한식음식점,86,3,3,4,4.0,5.98,1.98
상계제일중학교,골목상권,한식음식점,7,0,0,0,0.0,3.42,3.42
상계초등학교,골목상권,한식음식점,42,0,2,5,2.0,5.1,3.1
상도1동주민센터앞,골목상권,한식음식점,6,0,0,0,0.0,3.31,3.31
상도4동주민센터,골목상권,한식음식점,8,0,0,0,0.0,3.53,3.53
상도역 1번,골목상권,한식음식점,11,0,0,0,10.0,3.86,-6.14
상도역 2번,골목상권,한식음식점,11,1,1,9,10.0,4.13,-5.87
상도역 5번,골목상권,한식음식점,33,2,0,0,0.0,5.14,5.14
상도초등학교,골목상권,한식음식점,8,0,0,0,0.0,3.53,3.53
상봉역 3번,골목상권,한식음식점,84,4,4,5,6.0,5.99,-0.01
상봉역 4번,골목상권,한식음식점,51,2,1,2,4.0,5.47,1.47
상봉역 7번,골목상권,한식음식점,17,2,2,12,11.0,4.64,-6.36
상수역 3번,골목상권,한식음식점,3,0,0,0,0.0,2.71,2.71
상수역 4번,골목상권,한식음식점,22,0,0,0,5.0,4.49,-0.51
상왕십리역 3번,골목상권,한식음식점,14,0,2,14,0.0,3.96,3.96
상왕십리역 6번,골목상권,한식음식점,6,0,0,0,0.0,3.28,3.28
상월곡역 1번,골목상권,한식음식점,28,1,1,4,0.0,4.86,4.86
상월곡역 2번,골목상권,한식음식점,21,0,0,0,5.0,4.44,-0.56
상월곡역 3번,골목상권,한식음식점,5,0,0,0,25.0,3.12,-21.88
상일여고(상일초등학교),골목상권,한식음식점,82,6,7,9,5.0,6.01,1.01
새남터성지,골목상권,한식음식점,7,1,0,0,0.0,3.98,3.98
새절역 2번,골목상권,한식음식점,13,0,0,0,0.0,3.99,3.99
새절역 3번,골목상권,한식음식점,12,0,1,8,9.0,3.85,-5.15
새터산,골목상권,한식음식점,9,1,0,0,0.0,4.09,4.09
샘말어린이공원,골목상권,한식음식점,11,1,0,0,0.0,4.2,4.2
샤로수길,골목상권,한식음식점,130,11,2,2,4.0,6.61,2.61
서강대역 1번,골목상권,한식음식점,37,1,1,3,3.0,5.11,2.11
서강대학교,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
서경대학교,골목상권,한식음식점,20,2,4,20,0.0,4.67,4.67
서대문구보건소별관,골목상권,한식음식점,11,0,0,0,0.0,3.83,3.83
서대문구청,골목상권,한식음식점,2,0,0,0,0.0,2.42,2.42
서대문소방서,골목상권,한식음식점,7,1,0,0,0.0,3.98,3.98
서대문우체국,골목상권,한식음식점,9,1,0,0,0.0,4.09,4.09
서래초등학교,골목상권,한식음식점,3,1,0,0,0.0,4.05,4.05
서문여고,골목상권,한식음식점,2,0,0,0,100.0,2.42,-97.58
서빙고동주민센터,골목상권,한식음식점,3,0,0,0,0.0,2.73,2.73
서빙고역 1번,골목상권,한식음식점,2,0,0,0,0.0,2.42,2.42
서서울호수공원,골목상권,한식음식점,4,0,0,0,0.0,2.94,2.94
서연중학교,골목상권,한식음식점,3,0,0,0,0.0,2.71,2.71
서울공연예술고등학교,골목상권,한식음식점,5,0,0,0,0.0,3.12,3.12
서울과학기술대,골목상권,한식음식점,19,0,0,0,11.0,4.36,-6.64
서울교통공사,골목상권,한식음식점,9,0,0,0,0.0,3.65,3.65
서울국제고등학교,골목상권,한식음식점,27,1,1,4,0.0,4.83,4.83
서울금융고등학교,골목상권,한식음식점,7,0,0,0,0.0,3.42,3.42
서울대병원,골목상권,한식음식점,12,0,0,0,0.0,3.93,3.93
서울대입구역 8번,골목상권,한식음식점,15,3,3,20,0.0,4.79,4.79
서울독일학교,골목상권,한식음식점,8,1,0,0,0.0,4.06,4.06
서울북부고용노동지청,골목상권,한식음식점,8,0,0,0,13.0,3.53,-9.47
서울산업정보학교(서울삼성초등학교),골목상권,한식음식점,2,0,0,0,0.0,2.42,2.42
서울서부지방법원,골목상권,한식음식점,69,2,1,1,3.0,5.73,2.73
서울숲역 1번,골목상권,한식음식점,8,0,0,0,13.0,3.53,-9.47
서울숲카페거리,골목상권,한식음식점,10,2,0,0,0.0,4.55,4.55
서울시립대,골목상권,한식음식점,14,1,0,0,27.0,4.34,-22.66
서울시인재개발원,골목상권,한식음식점,4,0,1,25,25.0,2.76,-22.24
서울여자간호대학교,골목상권,한식음식점,14,2,1,7,0.0,4.57,4.57
서울역 12번,골목상권,한식음식점,67,2,3,5,2.0,5.68,3.68
서울역 15번,골목상권,한식음식점,34,2,0,0,3.0,5.16,2.16
서울지방병무청,골목상권,한식음식점,14,1,1,7,0.0,4.29,4.29
서울축산농협 독산역지점(독산파출소),골목상권,한식음식점,17,0,0,0,6.0,4.25,-1.75
